"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","03erZycNnL8","태국그린커리 고소한 코코넛과 그린커리의 만남 Thai Chicken Green Curry","2019-08-08T12:14:03.000Z","49","5","0","0","0","https://www.youtube.com/watch?v=03erZycNnL8"
"2","1Hlz0_tsezw","락스 사용법 안전하게 사용하기 위해 반드시 알아야 할 것들!","2019-12-02T12:51:16.000Z","51620","2310","37","0","18","https://www.youtube.com/watch?v=1Hlz0_tsezw"
"3","1jV5dC0kjlc","돼지고기 콩나물볶음! 매콤한 돼지고기와 아삭한 콩나물의 조화 How to Make Korean Bean Sprouts Chilli Pork","2019-06-14T10:32:33.000Z","209","10","0","0","0","https://www.youtube.com/watch?v=1jV5dC0kjlc"
"4","1SFpce3-G90","꼬다리 꼬마김밥! 김밥은 꼬다리가 제맛? 'Mini Kimbap' How to make Korean Style Mini Kimbap","2019-07-27T08:31:57.000Z","90","6","0","0","1","https://www.youtube.com/watch?v=1SFpce3-G90"
"5","61LYHwIZTAo","해독주스 재료준비편. 장건강에 좋은 해독주스 How to Make Korean Detox Smoothie Recipe Part 1","2019-05-31T11:41:44.000Z","1339","31","0","0","7","https://www.youtube.com/watch?v=61LYHwIZTAo"
"6","7y5GPXSE6HM","렌지후드 팬 청소하는 방법. 후드의 소음도 줄어듭니다.","2019-12-13T14:07:39.000Z","2965","145","3","0","8","https://www.youtube.com/watch?v=7y5GPXSE6HM"
"7","8IWawlQYvv0","백짬뽕! 담백한 맛이 일품인 백짬뽕을 만들어 보세요 'Bakjampon' How to make Korean style seafood noodle","2019-07-02T11:17:51.000Z","87","9","0","0","4","https://www.youtube.com/watch?v=8IWawlQYvv0"
"8","8y0pGk3pSUY","생닭 손질할 때 닭껍질에 있는 캠필로박터균의 교차오염을 피하는 방법","2019-11-30T09:48:36.000Z","556","42","0","0","4","https://www.youtube.com/watch?v=8y0pGk3pSUY"
"9","9RPquJVQycI","달걀볶음밥! 냉장고에 찬밥을 고슬고슬 달걀볶음밥으로 만들어 보세요 Easy Egg Fried Rice 'Bokkeumbap'","2019-07-17T08:34:10.000Z","75","8","0","0","2","https://www.youtube.com/watch?v=9RPquJVQycI"
"10","A786I9xI-SQ","래브라도 리트리버 관찰~'깜놀주의'!! Adorable Labrador Retriever - Caution! Don't Freak Out!","2019-06-16T11:18:03.000Z","450","15","0","0","4","https://www.youtube.com/watch?v=A786I9xI-SQ"
"11","AZlxH1spx1Y","두피건강을 위한 머리빗 세척 쉽게하는 방법. 나무재질의 빗은 설명란을 참고해주세요.","2019-12-18T15:14:58.000Z","1825","114","3","0","2","https://www.youtube.com/watch?v=AZlxH1spx1Y"
"12","bK_5VYH6PTw","제육볶음! 채소의 아삭한 식감이 살아있는 매콤한 제육볶음Jeyuk-Bokkeum(Korean spicy Stir-fried)","2019-07-08T08:20:03.000Z","58","6","0","0","0","https://www.youtube.com/watch?v=bK_5VYH6PTw"
"13","CDP29fSYx5A","닭볶음탕에 국수를 말아서 호로록 'Dakbokkeumtang' Korean Spicy Braised Chicken","2019-08-01T09:10:38.000Z","60","6","0","0","0","https://www.youtube.com/watch?v=CDP29fSYx5A"
"14","CpyfiX0Z7FI","드럼세탁기 구매시 꼭 알아야 할 점과 옷감을 덜 상하게 세탁하는 간단한 방법","2019-11-13T14:02:22.000Z","1345","60","0","0","0","https://www.youtube.com/watch?v=CpyfiX0Z7FI"
"15","cWbr9ViWPlU","오이무침을 만들어 보세요Oi-muchim. Korean spicy cucumber side dish","2019-06-26T09:12:31.000Z","53","8","0","0","1","https://www.youtube.com/watch?v=cWbr9ViWPlU"
"16","dNOfx2kWfEw","닭국수! 진한 국물의 맛있는 닭국수를 만들어 보세요 Dakguksu. How to Make Korean Style Chicken Noodle Soup.","2019-06-19T08:06:50.000Z","1294","27","0","0","3","https://www.youtube.com/watch?v=dNOfx2kWfEw"
"17","DV6Vi7Du-_0","삼겹살 김치전! 삼겹살과 김치의 환상적 만남! How to Make Korean Pork Belly Kimchijeon","2019-07-29T10:38:20.000Z","88","5","0","0","7","https://www.youtube.com/watch?v=DV6Vi7Du-_0"
"18","efIZyRiwmkA","맥주의 '이것'을 알면 더 맛있는 맥주를 선택할 수 있습니다!! 그리고 캔맥주로 만드는 비어캔치킨 요리가 건강에 해로운 이유.","2019-12-06T12:24:57.000Z","611","26","1","0","3","https://www.youtube.com/watch?v=efIZyRiwmkA"
"19","eTSjvrbULqE","생강차 쉽게 만들기! 힘든 강판은 그만!How to Make Easy Ginger Tea(Korean Saenggang Cha)","2019-07-03T10:46:10.000Z","1675","35","1","0","1","https://www.youtube.com/watch?v=eTSjvrbULqE"
"20","f0eOXrMgzxU","양념치킨 튀기지 않고 간단하게 만들어 보세요. 뚜껑덮고 중불에서 익히세요.","2019-11-30T09:48:31.000Z","233","24","0","0","2","https://www.youtube.com/watch?v=f0eOXrMgzxU"
"21","FTOdh50INSA","찜닭 젓가락만으로 쉽게 분리되는 찜닭을 압력솥을 이용해서 만들어보세요 'Jjimdak' Korean Style Braised Chicken With Vegetable","2019-09-10T05:21:58.000Z","94","7","0","0","0","https://www.youtube.com/watch?v=FTOdh50INSA"
"22","GHzn7S7UsOc","달력을 분리배출 하는 간단한 방법. 그냥 버리지 말고 금속과 종이를 분리해서 버리세요 생각보다 쉬워요.","2020-01-05T10:18:19.000Z","1707","88","1","0","8","https://www.youtube.com/watch?v=GHzn7S7UsOc"
"23","GzFxoZE2bJc","닭죽을 닭다리살로 간편하게 살을 발라서 만들어 보세요 How to make Korean Style Chicken and Rice Porridge(Dakjuk)","2019-08-28T03:36:27.000Z","74","7","0","0","2","https://www.youtube.com/watch?v=GzFxoZE2bJc"
"24","HMU9_OGGnrY","수건빨래의 악취제거를 위한 수건을 쉽게 삶는 3가지 방법.영상 뒷부분에 세제찌꺼기 줄이는 방법과 수건을 좀더 빨리말리는 꿀팁이 있어요.","2019-12-16T14:37:56.000Z","124348","2939","92","0","38","https://www.youtube.com/watch?v=HMU9_OGGnrY"
