"","id","title","publication_date","viewCount","favoriteCount","commentCount","likeCount","dislikeCount","url"
"1","3TJDVUhDJ-k","Actually a ""Draw This"" Stream","2019-11-23T23:44:47.000Z","150713","0","1058","12058","38","https://www.youtube.com/watch?v=3TJDVUhDJ-k"
"2","6_n0zX-jC8M","Actually A Q&A Stream","2019-11-17T00:19:49.000Z","48858","0","288","3400","14","https://www.youtube.com/watch?v=6_n0zX-jC8M"
"3","7GZdvHwcOq0","NEW DISCORD SERVER SHOWCASE (Also Blank Ditched Me Today)","2019-10-26T21:17:25.000Z","26581","0","367","2770","7","https://www.youtube.com/watch?v=7GZdvHwcOq0"
"4","9K5oEL8Huq0","Actually a Q&A Live Stream","2019-10-12T23:02:30.000Z","24894","0","257","2662","10","https://www.youtube.com/watch?v=9K5oEL8Huq0"
"5","exoTPO_zeF8","Actually A Q&A Live Stream","2019-08-31T23:33:35.000Z","42450","0","382","3134","11","https://www.youtube.com/watch?v=exoTPO_zeF8"
"6","h7AT8Il4gHQ","Actually a Question Answering Stream","2019-11-02T21:48:09.000Z","29765","0","376","2504","13","https://www.youtube.com/watch?v=h7AT8Il4gHQ"
"7","hx8gqeLF-nk","Actually A Q&A Live Stream","2019-08-04T01:10:41.000Z","69309","0","817","4612","23","https://www.youtube.com/watch?v=hx8gqeLF-nk"
"8","kJJVuuC2EQE","Actually A Q&A Live Stream","2019-08-11T01:10:53.000Z","23116","0","297","1857","8","https://www.youtube.com/watch?v=kJJVuuC2EQE"
"9","ksE8yup44L4","Actually, Is Hosuh a Better Artist than Stephen? No","2019-12-07T23:10:38.000Z","291285","0","1443","20869","52","https://www.youtube.com/watch?v=ksE8yup44L4"
"10","Md8vkoIPKQA","Actually a Q&A Live Stream","2019-10-20T00:16:04.000Z","30591","0","366","2469","13","https://www.youtube.com/watch?v=Md8vkoIPKQA"
"11","RlU32AfEVeU","Actually, I Quit DanPlan","2020-01-05T01:05:23.000Z","1921779","0","75028",NA,NA,"https://www.youtube.com/watch?v=RlU32AfEVeU"
"12","TTTLN6IgPDA","First Real Stream on the New Discord Server","2019-11-10T00:53:21.000Z","30905","0","216","2692","12","https://www.youtube.com/watch?v=TTTLN6IgPDA"
"13","V4QEHz04uXI","Actually A Q&A Live Stream","2019-08-17T23:54:01.000Z","21430","0","188","1619","7","https://www.youtube.com/watch?v=V4QEHz04uXI"
"14","WkL-nQ5DhME","Actually A Q&A Live Stream","2019-08-25T01:28:06.000Z","18602","0","119","1394","4","https://www.youtube.com/watch?v=WkL-nQ5DhME"
"15","wlPHjvAn6-0","Actually Stephen Live Stream","2019-09-21T23:50:00.000Z","126159","0","762","10086","29","https://www.youtube.com/watch?v=wlPHjvAn6-0"
"16","yi-CYlZnwBo","Actually A Q&A Live Stream","2019-09-07T23:59:57.000Z","37425","0","310","2865","14","https://www.youtube.com/watch?v=yi-CYlZnwBo"
