"","id","title","publication_date","viewCount","favoriteCount","likeCount","dislikeCount","commentCount","url"
"1","_9ZI5FxPpTM","BRUNA VIOLA-CANARANA-MT-2010- TELEFONE MUDO","2010-09-08T00:03:19.000Z","1491","0","11","0","1","https://www.youtube.com/watch?v=_9ZI5FxPpTM"
"2","_cXeg4SHvCQ","BRUNA VIOLA - APA(TRADIÇÃO) - PRIMAVERA DO LESTE-MT-2010","2010-06-21T23:13:21.000Z","2435","0","15","0","0","https://www.youtube.com/watch?v=_cXeg4SHvCQ"
"3","_HkBOELdZik","VIBRUNA VIOLA-ZUEIRA NA VAN-""ISSO QUE DÁ VIAJAR FORA DA EQUIPE BRUNA VIOLA"" kkkkkkk-2011","2011-07-29T05:38:01.000Z","2655","0","29","1","6","https://www.youtube.com/watch?v=_HkBOELdZik"
"4","_IHTSPv86F0","BRUNA VIOLA-LUZEIRO.MPG","2010-06-17T12:16:23.000Z","5127","0","24","0","3","https://www.youtube.com/watch?v=_IHTSPv86F0"
"5","_zD8o2TcuK4","BRUNA VIOLA-ARAPUTANGA-MT-2010","2010-10-31T16:13:11.000Z","1746","0","14","1","2","https://www.youtube.com/watch?v=_zD8o2TcuK4"
"6","_zY1snaKo-c","BRUNA VIOLA-ABERTURA SHOW EM BRASNORTE-MT 21-08-2010.MPG","2010-08-26T01:25:43.000Z","8871","0","32","0","2","https://www.youtube.com/watch?v=_zY1snaKo-c"
"7","-SqPtGSgQ_g","PEÃO DO VALE E SIMONIDES----------BRUNA VIOLA","2009-10-12T23:46:56.000Z","2841","0","20","0","6","https://www.youtube.com/watch?v=-SqPtGSgQ_g"
"8","1FrhDks1Xtc","BRUNA VIOLA - SANGUE NOVO (ZÉ MULATO E CASSIANO).mp4","2013-01-10T00:34:31.000Z","34393","0","304","9","40","https://www.youtube.com/watch?v=1FrhDks1Xtc"
"9","1TJRPlh6d4g","BRUNA VIOLA SESC POMPÉIA-SP 24-01-2012 ADMIRÁVEL GADO NOVO.MPG","2012-01-25T18:54:54.000Z","5920","0","21","0","3","https://www.youtube.com/watch?v=1TJRPlh6d4g"
"10","2bx0MyLNeG4","BRUNA VIOLA ENSAIO","2013-08-15T04:14:15.000Z","80791","0",NA,NA,NA,"https://www.youtube.com/watch?v=2bx0MyLNeG4"
"11","2gLkr9argfo","BRUNA VIOLA-SINOP-MT-2009","2009-10-01T00:26:44.000Z","984","0","7","0","1","https://www.youtube.com/watch?v=2gLkr9argfo"
"12","2M6HtZnoiiM","BRUNA VIOLA-SINOP-MT-2009","2009-09-30T23:05:38.000Z","438","0","6","0","0","https://www.youtube.com/watch?v=2M6HtZnoiiM"
"13","3MGhFkC_cR4","BRUNA VIOLA RODA DE VIOLA SESC VENDA NOVA BH SEMINÁRIO VERTENTES DA VIOLA.MPG","2011-12-12T23:46:33.000Z","4489","0","35","1","2","https://www.youtube.com/watch?v=3MGhFkC_cR4"
"14","3ONYjikCorw","BRUNA VIOLA E ÁGUA MINERAL PURÍSSIMA-SHOW EM CAMPO NOVO DO PARECIS-MT 05-03-2010.MPG","2010-03-10T18:27:45.000Z","621","0","4","0","0","https://www.youtube.com/watch?v=3ONYjikCorw"
