"","video_id","comments_count","reply_rate"
"1","1SIHtRhAW7c",54,0
"2","2DYzEkSikuY",17,0
"3","3AuB4dnPbkM",14,0
"4","5srUghvQxJY",7,0
"5","9ZMewgQKaus",9,0
"6","AvT7zuc4B0Y",16,0
"7","ax02mC0BSuo",63,0
"8","BDXTOC24o0I",8,0
"9","CzxG6Ti4gPI",21,0
"10","ekFRPCFuIBI",63,0
"11","G0vweBx7r9E",124,0
"12","GDMQ8ZRYZqk",192,0
"13","h5hPAQ-2N-s",29,0
"14","hS3DqZJUn8U",131,0
"15","J2jaIzHISXg",86,0
"16","K8TidLNVlpM",10,0
"17","lsCEAgUH8t8",12,0
"18","m4vTiZWDV-0",8,0
"19","mFQEwmY4WZc",9,0
"20","MUQQb1eJDso",79,0
"21","n-Bqo6oSV0M",35,0
"22","nqZwkvaB2qY",29,0
"23","nYgQFtzMJ8g",9,0
"24","OP1yklbfXyQ",30,0
"25","rkWTyKJlVso",13,0
"26","sW_vNN3NKg4",9,0
"27","Tg03mAW4r9k",5,0
"28","tVWwSm-o1cc",8,0
"29","VIogjD0wl_U",313,0
"30","VJ8-Hkbqp2I",25,0
"31","VoVltbcxT-s",22,0
"32","wpmQrTjNQS0",12,0
"33","ydHFF2CnrxM",66,0
"34","Z1P_6rN1S1Y",21,0
"35","zGkEQR0wIrU",1093,0
