"","id","title","total_views","total_subs"
"1","UCmY1hRirL5TrQ1-c7c2aYgA","Tanny Volkova","2124875","1970000"
"2","UCdILDy13Iac8nTT27HieBjQ","Sieteex","1236334","147000"
"3","UCYhGNo8jD0iZ-Ne4372CVUw","AWEN","4579945","479000"
"4","UCmiivdWbzuVQKMljjvfVjqQ","Hiromi factory チャンネル","2198024","231000"
"5","UC2tNvVZ75nEcfacTIVzCcYQ","Edo Ts","3766869","324000"
"6","UCDiNUgM_dUHBgKCVR2awPCg","Andi Eigenmann","3343480","253000"
"7","UCRkBGUluXeZqoklYT0xzwbw","Bruna Viola","17757675","595000"
"8","UCQhR1YUwHMBEpvlRQWwLUdg","Renzo Rosales Taboada","28290043","72700"
"9","UCJnOK0N8d_J9tiT6W7STjrQ","Bunkface!","2479002","55200"
"10","UCo9847TZupA_7v17dURtBBw","MG Gang","15774429","107000"
"11","UCo7QD2F0sVgkHSDV1TfAV7A","Mr.都市伝説 関暁夫の情熱が止まらない","940552","169000"
"12","UCziXVJdWBMpj9bcgWH7WYNg","Mackerelcake 고등어케이크","2465848","48300"
"13","UCT4qb_OJEapme5ENEhBI-bw","Riz Xtar","2687924","116000"
"14","UCYw9ab2RDz04dNSk4HRVTow","Short History","1634590","53400"
"15","UCWoX0WHlKjV-yArvBrTxIJA","피스오케이Peace O.K.","3272991","49000"
"16","UCKj6AK9GR0Njx2Vfhd_aCsw","NO COMMENT","6010038","83500"
"17","UCL3qjTo4-Ppt2xlyCwD1psQ","Hola Amigos","46353170","259000"
"18","UCYaxncRvOBu-vtdhxf6qciA","Actually Stephen","2893878","321000"
"19","UCOHTtJL1ExEQncNWsf4G18g","BIG Headlines","32385444","62400"
"20","UCRA4TfUBsbZ-DZTD0lry-eQ","Soba Borusu","1004753","57300"
"21","UCA-EoQh-2JbIEkN7h2yJ0GA","Air","1323698","35600"
"22","UCStljkxjE--_dfGeMBbbtIA","LUCKY 3RD","2404515","68800"
"23","UCOZsrVRAF1NGBdL0Kpdl8Cg","Dr Heng Soy","5146952","52400"
"24","UCzXpJub6qs5O8OT-xYgiIOA","DeepseaOddities","4065928","41900"
"25","UC-YcYnfGa7n5QVS3B1Ex7uA","千千生活中","287491","30600"
"26","UCHtsb3G9FmaV6AoplLLwVpg","Nerdy Potato","2586528","54300"
"27","UC76G5sz2iIXyWk7bOXK2j6g","愛美教主 TV","1092891","42900"
"28","UCLfam-uctJfpONezAKpmuRA","ユンナYounha","119903","38700"
"29","UCTgMnV021odcWKnoBh2EUAg","Black Sands Entertainment","890583","40400"
"30","UCuX8lXIexG8dRXFx54CVm2Q","CL Official Channel","16614980","1230000"
"31","UC30nOmybLS_ecUL4bl8jygg","फिल्मीप्लेक्स हिंदी","4482864","58800"
"32","UCmj5GoMSRJJ1wV39whi5Kvg","Angela Oliveira","1582156","46800"
"33","UCo51ugjfBOQytx6of3GldRg","Louis Simulation","4683232","36900"
"34","UCt436V1mFGyRuYXit7Nsskw","Auntie Nita","5297304","54700"
"35","UCJCqtJDeW40nLqclIkKXS_A","Mr. suncity","2078598","44000"
"36","UCDZFI4LOb0IF-UB7Fxxevdw","انت تستطيع","1459713","47400"
"37","UC0g5VkWejs0rXbS9--4kbCw","Pranky Friends프랭키 프렌즈","6270132","100000"
"38","UCzzhmLQGOQA9VTg60cJMVxg","Kathryn Bernardo","168418","210000"
"39","UC1FhtpyTJs2DWETb_0kX6BA","Sveta Kelly","207897","35300"
"40","UCC1uhJyH5iNmwqHOmi7eaiw","Historical Facts","7089565","108000"
"41","UCiZv4ehxx5nW5hU3TsuTa9g","philipp.psd","429152","27100"
"42","UCuktMXbuNitipEGQXDCzEzQ","Полина Сухова","1905074","48700"
"43","UCC-zlO4ijtKQ2dV1Vz4fWQQ","ygorX","1003124","50100"
"44","UCCSPMB9sESV7zZQfkE-cVpQ","Rianiayan","857553","31200"
"45","UCR7Fu_onZXv0_XbdLtQMPMA","Silambam Syed","3783692","27400"
"46","UCT4ITc4BhHL4CXHYt4Bs9jg","Siege Tales","1422597","43500"
"47","UCQjZq0InHXbPCPBXDdoaNaA","Ross The Random","5662767","36800"
"48","UC7Qkih-R38PRnCBNpzqIxmw","Rafario GL Army","526184","27500"
"49","UCpwJ_dzLTtrgDAWXuBa7kZA","Kay Marie","1773453","25500"
"50","UCn527fNWefWmh78YULJ1HXw","PROZIN","343431","29100"
"51","UCLosJVMTXARAfNM8YTFnfPA","Cao Son Nguyen","399180","28400"
"52","UCbwF5qItDGG6Owp3oXjszbg","Jump","1770648","102000"
"53","UCDfwnN4jfHLLLiVTigxQxYA","قناة الاساطير","1796684","36300"
"54","UCz6vnIbgiqFT9xUcD6Bp65Q","ChroNoiR","61717","38100"
"55","UCIk17PPG5ElK1XcoACT1HVA","ClickForMoreTaz","79709","47300"
"56","UCNu7wXS4a9NfIfGpEexiXdA","Jade & Noah","1521714","31700"
"57","UCLiu0iPPes2anRxuvVABe6w","Trizen","1698873","22900"
"58","UCzXIFIChH0pN_8ZLvf5pgQg","군산오징어약사","137930","43600"
"59","UC8KwfcFncSOk4WQRyr3KIwQ","Bayan Ko","3709719","24000"
"60","UCZJ5EMDwrH_aTzlI8PCn_DQ","Experiment All vs Car","102085190","306000"
"61","UCqeKWAqr6love3cdzNBYUKA","Kerajinan 5-Menit Gadis","3333322","25300"
"62","UCIKTn-CM1iogGbqek2ksxFA","Ultimate Movies","11575724","97900"
"63","UCT5hB3iC2EoAINO7US4FOMw","بيوتنا وأطفالنا","6220351","33600"
"64","UCrwYagWWX3BrsOUIwLmldDg","ТВ Совхоз","1637084","28100"
"65","UCKdQ1qvgpru8OIw64bZy4gQ","Hindi Dubbed Movies","4225938","46400"
"66","UCA-Qb90sh7Itjo9MwSyn9KQ","YaviReaction","834854","24900"
"67","UCw8x7RjEv9_utGdUozvuYww","خالتي مريم القروية","1132399","22600"
"68","UCLfyS2t8duuCaKFmMzMJzyw","Santosh Acharya","9913954","31700"
"69","UCkz_GwLQrURCa5FzyobMNKQ","JhonGo!2","1372182","54200"
"70","UC2dfiTnIRduc45jRV65iRsg","KHƯƠNG NGỌC OFFICIAL","2212248","34800"
"71","UC1D5V67Y-y9YMKa5stwrWkQ","BELVITO Brothers","200222","23700"
"72","UCUw4K8hh4No3ks8wxfqj-uQ","Jake Colvin","5352459","66800"
"73","UCTo0WaAO-tRYTK5jBXoQyHA","Pradipta Mitra PM Vlogs","4991959","49500"
"74","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q","3046407","46700"
"75","UC234NfvHtl0pwYC2Yplz66Q","Aziz Ya LeL عزيز يا ليل","1170516","43900"
"76","UCztVJVEqC9MO6BoFzDq5ewA","Tech Tv","3844","57900"
"77","UC0pdmQwQKnzdtMXiKSEke8Q","《WEREWOLF》 QwQ","1344889","22800"
"78","UCg722BEkHQxKB_pNL1xdWQw","Crystal Lee","19946710","95500"
"79","UCi5RpNkW929mTVCoU2C_02g","FIN PLUS TECH","1478634","41400"
"80","UCj0GdOTeB1kUQNrHDVjZPDA","Haya Zamin","939579","28000"
"81","UCUWkHW7RJtaTl_fju_W0s2Q","mysteria","1564467","77700"
"82","UCUabf2cM8vbDSuITGKhiXJQ","سام السلايم المرح","17824659","187000"
"83","UC2sYit3cZ2CuD_8FHYH7O_Q","Hyram","17858930","467000"
"84","UCqzKrLA7Rh1G67LfBHYTagw","Martina Attili","2721969","115000"
"85","UC6BjpMIvdF7CNoh9kiw67fA","e-wheeler","229062","22900"
"86","UCX2ZPfDqbxo8QIJFc1Y7hAw","Survival Nature","6778534","25100"
"87","UC7KHaGBqJlH926m7IVhP3hw","Boong MK","6348160","47700"
"88","UC81EPVOdmiIt7q1l1G19AZg","꧁Kisaky-kunx2 ꧂","407683","40100"
