"","id","title","publication_date","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","url"
"1","-iTIQyqvdME","「虹彩六號」 哈士奇的R6日常(63)--Tachanka由下往上守，沒看過的神奇角度","2019-11-12T09:00:01.000Z","15594","163","4","0","33","https://www.youtube.com/watch?v=-iTIQyqvdME"
"2","0F2MLSgwcpc","「虹彩六號」 哈士奇的R6日常(51)--2甲2速金士曼，舒服!!","2019-10-25T02:20:23.000Z","32525","300","32","0","88","https://www.youtube.com/watch?v=0F2MLSgwcpc"
"3","0wP9Ufs670M","「虹彩六號」 哈士奇的R6日常(95)--殘局就是要唱衰隊友，然後狠狠被打臉!!","2019-12-26T10:58:08.000Z","19115","227","6","0","36","https://www.youtube.com/watch?v=0wP9Ufs670M"
"4","0XFaCFn-OEM","「虹彩六號」 哈士奇的R6日常(77)--我們運用戰術打贏冠軍了!!完全在計算之內","2019-12-02T11:38:03.000Z","24997","287","19","0","38","https://www.youtube.com/watch?v=0XFaCFn-OEM"
"5","1FWM8cLT4zA","「虹彩六號」 哈士奇的R6日常(70)--這就是為甚麼幹員越黑，我越愛","2019-11-21T12:42:58.000Z","19136","211","11","0","37","https://www.youtube.com/watch?v=1FWM8cLT4zA"
"6","244X_fAocuI","「虹彩六號」 哈士奇苦盡甘來的81+5個Alpha packs開ㄅ...抽!!","2019-09-07T02:39:28.000Z","6785","103","6","0","39","https://www.youtube.com/watch?v=244X_fAocuI"
"7","2BmQzqQbbAw","「虹彩六號」 哈士奇的R6日常(65)--卡在一個可以無敵透視窗外的傑出BUG","2019-11-14T09:54:21.000Z","23998","193","6","0","36","https://www.youtube.com/watch?v=2BmQzqQbbAw"
"8","2RD8cJLGwyc","「虹彩六號」 哈士奇跟你過中秋+履行600訂閱的承諾","2019-09-12T23:18:54.000Z","4409","85","2","0","29","https://www.youtube.com/watch?v=2RD8cJLGwyc"
"9","2rQwIL-u6vc","「虹彩六號」 哈士奇的R6日常(84)--神盾局回來啦，我的閃盾還是很棒的...","2019-12-11T11:40:39.000Z","18935","254","5","0","52","https://www.youtube.com/watch?v=2rQwIL-u6vc"
"10","2sbA9g_TkVk","「虹彩六號」 哈士奇的R6日常(85)--奪命Kali狙爆對面!!Ace只是一場夢...","2019-12-12T09:00:00.000Z","23814","212","5","0","53","https://www.youtube.com/watch?v=2sbA9g_TkVk"
"11","2sQIv5jP5CM","「虹彩六號」 哈士奇的R6日常(35)--又猛又吵的槍，有夠OP......嗎?","2019-10-02T07:18:02.000Z","28132","229","34","0","37","https://www.youtube.com/watch?v=2sQIv5jP5CM"
"12","2ZLtldCxjzg","「虹彩六號」 哈士奇的R6日常(1)--教你玩大槌","2019-07-26T15:09:03.000Z","6325","83","2","0","13","https://www.youtube.com/watch?v=2ZLtldCxjzg"
"13","6vpQpUlrQGM","「虹彩六號」 哈士奇的R6日常(93)--兩隻狗終於又合體了，黃狗亂入哈士奇小隊 Ft.黃狗","2019-12-23T10:01:01.000Z","23437","361","13","0","83","https://www.youtube.com/watch?v=6vpQpUlrQGM"
"14","6ym6IVZHBgc","「虹彩六號」 哈士奇的R6日常(72)--三盾陣容出動，最後被UBI爸爸擺了一道","2019-11-23T05:00:01.000Z","23302","217","6","0","41","https://www.youtube.com/watch?v=6ym6IVZHBgc"
"15","71WwJZRZEjc","「虹彩六號」 哈士奇的R6日常(100)--想要空降卻直接一個醜陋大失敗...","2020-01-03T11:42:28.000Z","19501","243","8","0","32","https://www.youtube.com/watch?v=71WwJZRZEjc"
"16","77lb6qyAifc","「虹彩六號」 哈士奇的R6日常(4)--黃狗小隊出動 Feat.黃狗","2019-08-05T07:13:21.000Z","23729","338","9","0","49","https://www.youtube.com/watch?v=77lb6qyAifc"
"17","7BwIyqFaC_A","「虹彩六號」 哈士奇的R6日常(22)--爛圖掰掰了?","2019-09-11T09:45:52.000Z","5165","58","1","0","32","https://www.youtube.com/watch?v=7BwIyqFaC_A"
"18","7VqLbGbKovI","「虹彩六號」 哈士奇的R6日常(2)--總統專機上可以開小火車?","2019-07-29T06:15:30.000Z","6450","73","2","0","6","https://www.youtube.com/watch?v=7VqLbGbKovI"
"19","8qsYeCdmKJo","「虹彩六號」 哈士奇的R6日常(58)--Noob的生態觀察，直接在遊戲裡當起""菜雞""聯賽主播","2019-11-05T10:07:41.000Z","6824","126","3","0","49","https://www.youtube.com/watch?v=8qsYeCdmKJo"
"20","A4IZIbdTBlY","「虹彩六號」 哈士奇的R6日常(47)--這牌位太稀有了，鑽石冠軍算甚麼...","2019-10-21T02:55:22.000Z","21157","208","8","0","52","https://www.youtube.com/watch?v=A4IZIbdTBlY"
"21","AaIk8bBPNNg","「虹彩六號」 哈士奇的R6日常(17)--AMARU可以這樣鉤?","2019-09-03T05:36:04.000Z","12674","158","7","0","33","https://www.youtube.com/watch?v=AaIk8bBPNNg"
"22","ajciv4zF5q0","「虹彩六號」 哈士奇的R6日常(104)--兩邊都看不到東西的暗鏡，Mira氣噗噗","2020-01-08T09:52:56.000Z","4697","138","3","0","34","https://www.youtube.com/watch?v=ajciv4zF5q0"
"23","b31d2W5LUuY","「虹彩六號」 哈士奇的R6日常(82)--正確活用ALIBI的稜鏡","2019-12-09T11:20:47.000Z","18551","279","8","0","70","https://www.youtube.com/watch?v=b31d2W5LUuY"
"24","B5TlYBHiihc","「虹彩六號」 哈士奇的R6日常(40)--架起銅牆鐵壁防禦，卻被BAN30分鐘...","2019-10-08T11:58:07.000Z","24737","169","11","0","30","https://www.youtube.com/watch?v=B5TlYBHiihc"
"25","BdI8eFTD9Xg","「虹彩六號」 哈士奇的R6日常(28)--這影片會讓你感到舒服","2019-09-23T11:47:04.000Z","9199","134","4","0","42","https://www.youtube.com/watch?v=BdI8eFTD9Xg"
"26","bgLzIMVa5Xs","「虹彩六號」 哈士奇的R6日常(57)--全部躲在冷凍庫冬眠，是能出甚麼差錯?","2019-11-03T09:14:10.000Z","26970","220","11","0","78","https://www.youtube.com/watch?v=bgLzIMVa5Xs"
"27","bkhPg2eO698","「虹彩六號」 哈士奇的R6日常(79)--新賽季開始，來去又被拔的總統專機釣魚吧!!","2019-12-04T12:37:28.000Z","17488","211","7","0","40","https://www.youtube.com/watch?v=bkhPg2eO698"
"28","BRubq0JoA5A","「虹彩六號」 哈士奇的R6日常(45)--我們把路人隊友雷到爆氣了","2019-10-17T12:06:25.000Z","15235","144","10","0","31","https://www.youtube.com/watch?v=BRubq0JoA5A"
"29","c1A2zuQAif4","「虹彩六號」 哈士奇的R6日常(68)--等敵人進點再空降防守，打得他們出奇不意","2019-11-19T09:00:06.000Z","23755","227","12","0","31","https://www.youtube.com/watch?v=c1A2zuQAif4"
"30","cE6VL9MmRvw","「虹彩六號」 哈士奇的R6日常(10)--開自訂也能笑死","2019-08-20T13:57:16.000Z","7517","90","3","0","56","https://www.youtube.com/watch?v=cE6VL9MmRvw"
"31","CHvZSYVqhWI","「虹彩六號」 哈士奇的R6日常(83)--新進M870 RUSH，醜陋大失敗...","2019-12-10T11:47:36.000Z","17766","204","5","0","30","https://www.youtube.com/watch?v=CHvZSYVqhWI"
"32","cLmSD4jvCcc","「虹彩六號」 哈士奇的R6日常(86)--人質救援作戰，和Fuze賽跑!!","2019-12-13T09:00:07.000Z","25198","248","12","0","54","https://www.youtube.com/watch?v=cLmSD4jvCcc"
"33","CQNHBnaqjY8","「虹彩六號」 哈士奇的跨年日常(??)--打虹彩六號也有跨年煙火可以看耶","2020-01-01T07:33:33.000Z","10254","197","5","0","59","https://www.youtube.com/watch?v=CQNHBnaqjY8"
"34","CqzQhXFo9w4","「虹彩六號」哈士奇的1000訂閱抽獎結果","2019-09-24T17:02:27.000Z","618","37","0","0","27","https://www.youtube.com/watch?v=CqzQhXFo9w4"
"35","dc_iererTrU","「虹彩六號」 哈士奇的R6日常(103)--在廁所逮到一隻宿醉Jager","2020-01-07T09:00:07.000Z","10889","209","5","0","42","https://www.youtube.com/watch?v=dc_iererTrU"
"36","dczxeWFjE7g","「虹彩六號」 哈士奇的R6日常(44)--Rush進點沒帶包，只好跟敵人跳舞","2019-10-15T13:54:41.000Z","16230","144","7","0","24","https://www.youtube.com/watch?v=dczxeWFjE7g"
"37","e2MxM5499xg","「虹彩六號」 哈士奇的R6日常(87)--櫃子裡面怎麼躲一個黑人啊...??","2019-12-15T04:00:02.000Z","24447","287","15","0","58","https://www.youtube.com/watch?v=e2MxM5499xg"
"38","E3E8BJ2b2h8","「虹彩六號」 哈士奇的R6日常(71)--【紙房子】限時活動，我就紙玩那麼一次","2019-11-22T09:00:02.000Z","32213","301","10","0","89","https://www.youtube.com/watch?v=E3E8BJ2b2h8"
"39","ErrHmCYF1qo","「虹彩六號」 哈士奇的R6日常(61)--來當個破壞遊戲體驗的心跳，跳窗抓人!!","2019-11-09T11:25:14.000Z","23796","194","11","0","37","https://www.youtube.com/watch?v=ErrHmCYF1qo"
"40","fciA--RUf6M","「虹彩六號」 哈士奇的R6日常(18)--新兵機槍回來了!!","2019-09-04T11:25:02.000Z","13791","132","10","0","17","https://www.youtube.com/watch?v=fciA--RUf6M"
"41","FmG1KQ_9qos","「虹彩六號」 哈士奇的R6日常(91)--我的隊友是一位連續TK大師，直接F5","2019-12-20T10:01:18.000Z","17887","213","6","0","53","https://www.youtube.com/watch?v=FmG1KQ_9qos"
"42","g4qurswbbzQ","「虹彩六號」 哈士奇的R6日常(53)--不小心把穩贏的局送掉，慘被路人罵是智障...","2019-10-28T07:07:39.000Z","15471","162","19","0","64","https://www.youtube.com/watch?v=g4qurswbbzQ"
"43","GaMrFEduSCE","「虹彩六號」 哈士奇的R6日常(12)--慫恿隊友撿ROOK裝甲包","2019-08-25T06:16:18.000Z","14083","135","10","0","31","https://www.youtube.com/watch?v=GaMrFEduSCE"
"44","gCU8yuTePf0","「虹彩六號」 哈士奇的R6日常(99)--我生平第一次被Wamai的飛盤弄死...超醜!!","2020-01-02T10:08:46.000Z","21256","265","7","0","52","https://www.youtube.com/watch?v=gCU8yuTePf0"
"45","gEsk8wxUoUA","「虹彩六號」 哈士奇的R6日常(52)--甭開鏡直接腰射，把R6當作CS在打","2019-10-26T09:53:43.000Z","38023","327","17","0","60","https://www.youtube.com/watch?v=gEsk8wxUoUA"
"46","gmKCE0RZjtA","「虹彩六號」哈士奇教你玩閃盾 Ft.Creeper","2019-08-18T13:32:19.000Z","5733","72","4","0","18","https://www.youtube.com/watch?v=gmKCE0RZjtA"
"47","GzLHT3Zc0ug","「虹彩六號」 哈士奇的R6日常(25)--請尊重人質","2019-09-17T10:23:45.000Z","13282","130","5","0","19","https://www.youtube.com/watch?v=GzLHT3Zc0ug"
