"","video_id","comments_count","reply_rate"
"1","_13eZaIpAvs",21,0
"2","_fnkmsV-bSE",3,0
"3","_R2JIeufeqU",2,0
"4","-f75bQlWXtc",0,NA
"5","04COCN8XO6k",5,0
"6","0axL0mu9GeE",0,NA
"7","0XrKnIui-5Y",10,0
"8","1-00tbsVWhM",1,0
"9","1eeDRhQnXcQ",1,0
"10","1im6YItq1rI",3,0
"11","2_cG1QshN0E",3,0
"12","2e9PVYyrNCo",5,0
"13","38p7EwbEGUY",10,0
"14","3F1v9pJsJCM",2,0
"15","4bSkOTHtTqc",6,0
"16","4ifonkbjKhY",2,0
"17","5STpsBEqZSY",2,0
"18","67Qp5eRLuig",3,0
"19","6G0wMrpZ47s",4,0
"20","6P2NXGOjt98",148,0
"21","6Q4zEbyiZhc",9,0
"22","6WwSZIfjbTU",4,0
"23","77jPS5Zn0v8",3,0
"24","7GIWJaaeWqs",1,0
"25","7oImiVDafIU",1,0
"26","8Dab9ElUY3g",0,NA
"27","8evFQsJnCCk",4,0
"28","8FLffDWegsM",47,0
"29","8KCjbwVylUc",1,0
"30","8TztyIN-bdw",1,0
"31","8XAg4Al2N0A",0,NA
"32","A_Wq1J_p3PY",0,NA
"33","a71z_2fwGZw",2,0
"34","ab2tt_NCy9I",3,0
"35","ac9IHGKLPwk",18,0
"36","AiHsSzVrXQ4",3,0
"37","aJzkkGGIFJQ",197,0
"38","AkdwuHXe_o4",1,0
"39","anvE4211M44",1,0
"40","aW0OFS1X6e8",1,0
"41","AxB8WknnPJc",1,0
"42","AZb_xYBT8Ao",2,0
"43","btg9Pb_ICVQ",1,0
"44","C8eMgJbDTVE",10,0
"45","CYC5n3IAvho",36,0
"46","d5MevW4Ehfk",4,0
"47","DdQ-EaGQ-1o",0,NA
"48","des-TWBC8e8",2,0
"49","DM86PsL5hh8",1,0
"50","DqIPloSfsxA",0,NA
"51","e4GTCRfREd8",1,0
"52","eapcWW9OPtQ",2,0
"53","ECpt8b2vgHw",1,0
"54","eRluxozidsk",1,0
"55","eTcJOI5yBtQ",3,0
"56","EVgrNJ1wjCE",1,0
"57","eyWHiT409D0",7,0
"58","F16nmtt0S3w",35,0
"59","fBc8QcEVCmA",1,0
"60","fdsMK71Wy90",4,0
"61","FOpRJV2ASa0",46,0
"62","fPFhFt6-z4w",244,0
"63","fXISL5SSYYc",3,0
"64","G5ZksYUoQkY",1,0
"65","gi8swVmvEzU",3,0
"66","gjUTVQ97ujI",1,0
"67","gLbqv5_TF0M",0,NA
"68","gLd1HwbBBBY",1,0
"69","gOK7vCWan8c",2,0
"70","HKgxCAh2m8w",4,0
"71","hNTOxpkCrdo",1,0
"72","hsgmm5456aM",1,0
"73","i2Rt8cOn1j8",0,NA
"74","iENBRLBGExo",0,NA
"75","IK7pzWpTh7Y",1,0
"76","ixzqsyJLp3o",28,0
"77","J2oQOcXzaiE",0,NA
"78","j46Vke--9Io",3,0
"79","JD54lshVowk",1,0
"80","JHWGgsQxT98",2,0
"81","K05AAHSKsWw",7,0
"82","k0aXs5iUppM",1,0
"83","k1NYxodOPT0",0,NA
"84","K38F0ulMmRs",2,0
"85","KAtUpB6fgEA",3,0
"86","KHzzpRvLogc",5,0
"87","KsKdRcX6y7A",0,NA
"88","KWAEgst8Gq8",2,0
"89","KwzEGj-KvXQ",1,0
"90","KYg-JueG4EE",6,0
"91","L0kdAdqMesc",7,0
"92","l2PpJQhTLCk",3,0
"93","lBCtTYj2Lac",1,0
"94","m5x7ivX5Mb8",0,NA
"95","mGSO1zrx-04",2,0
"96","mjp_tu7iZ0E",2,0
"97","MyGoHrbO1jY",1,0
"98","mZpevzwbIAI",4,0
"99","N7fEGbOvdAg",1,0
"100","nDaEF7t3v30",3,0
"101","ngNV1y-Vf2A",3,0
"102","niJykpBc1v4",3,0
"103","Nk8tlZ-SbKU",1,0
"104","nlHMyM5OFgs",0,NA
"105","NVLsEZ1jxnc",2,0
"106","nXrBaHmfwmg",8,0
"107","O7WT8O2WPrQ",359,0.00557103064066852
"108","Ob0PX9D-FmQ",1,0
"109","OoI93aYENLQ",1,0
"110","oT0wvq2NJo8",1,0
"111","otXRnuvvPq8",1,0
"112","PcMWq15nW64",1,0
"113","PUDYHsh8UuU",1,0
"114","pWrfHRK0wHg",0,NA
"115","PZN71yWGBlo",5,0
"116","Q5ctEStF7Lw",1,0
"117","qFAhksZsRtA",3,0
"118","qJay0p-6Eig",0,NA
