"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1","林林知","https://yt3.ggpht.com/a/AGF-l7-13OQClBiaKrW6KFDPY1U-zHix9SgHcIhRTg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTPRQu9CavH85nZeT_-Ts7g","UCTPRQu9CavH85nZeT_-Ts7g","_j7vi9Ho9T4","你們跟蘇珊有關係嗎","你們跟蘇珊有關係嗎","TRUE","none","0","2019-08-24T03:47:53.000Z","2019-08-24T03:47:53.000Z","UgyY69h6qaMTJLsiXbx4AaABAg",NA,NA
"2","陳昱錡","https://yt3.ggpht.com/a/AGF-l7-wAd0De_AhnY7I8b3SrEahB4V7VhOQfsFFeA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC7Oi1S6Z7bBtBAH5BOZ6Q4A","UC7Oi1S6Z7bBtBAH5BOZ6Q4A","_j7vi9Ho9T4","看起來很好玩😊😊😊","看起來很好玩😊😊😊","TRUE","none","2","2019-08-13T10:01:32.000Z","2019-08-13T10:01:32.000Z","UgxOzzr3KLFTIUoD7Px4AaABAg",NA,NA
"3","Hank Chu","https://yt3.ggpht.com/a/AGF-l7-wnG_kwSo0dK13IuREHw9WqS3VWPY1oF0CvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCrHRUioOKGAmxoMIB_-s_mg","UCrHRUioOKGAmxoMIB_-s_mg","_j7vi9Ho9T4","Cody怎麼沒玩","Cody怎麼沒玩","TRUE","none","0","2019-08-07T09:00:11.000Z","2019-08-07T09:00:11.000Z","Ugz6GzCtdT8Ag8wqexF4AaABAg",NA,NA
"4","王真秀","https://yt3.ggpht.com/a/AGF-l78yk4nHbzciQEYC1LWrhc67onfwWUI1foIO4Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSIAQOoiSaTmiuTAu5eej8Q","UCSIAQOoiSaTmiuTAu5eej8Q","_j7vi9Ho9T4","好玩","好玩","TRUE","none","0","2019-08-07T05:30:03.000Z","2019-08-07T05:30:03.000Z","UgwzA_VyWw73bcAexUF4AaABAg",NA,NA
"5","Hung Tony","https://yt3.ggpht.com/a/AGF-l7_XOAx3_WTDZry3W-VpkbpU643hFkwyA-jr_g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCEhNxWQjxKauRRynXFqpy_A","UCEhNxWQjxKauRRynXFqpy_A","_j7vi9Ho9T4","安安","安安","TRUE","none","0","2019-08-07T02:01:40.000Z","2019-08-07T02:01:40.000Z","UgyH-ipb_VG-U0R8vwp4AaABAg",NA,NA
"6","yaya58642000","https://yt3.ggpht.com/a/AGF-l7_xLkQYl8Mgzz0yBtDmkmyWpVirtY4Ny6EUvw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCgnE3Kyy1CsXXWc7DHrumBA","UCgnE3Kyy1CsXXWc7DHrumBA","_j7vi9Ho9T4","好刺激喔","好刺激喔","TRUE","none","0","2019-08-06T09:38:44.000Z","2019-08-06T09:38:44.000Z","UgzW9KrTuh9WcTkxzQV4AaABAg",NA,NA
"7","濃糖粉","https://yt3.ggpht.com/a/AGF-l7-y5_koq8UzILQjVFmrJbUBuvhStLnaGiBhvw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6zqR5s7Cq4kVJu4xkpukLA","UC6zqR5s7Cq4kVJu4xkpukLA","_j7vi9Ho9T4","來報到啦~太可愛了你們❤","來報到啦~太可愛了你們❤","TRUE","none","1","2019-08-05T15:27:43.000Z","2019-08-05T15:27:43.000Z","UgznVp_UFTQ47xb41m94AaABAg",NA,NA
"8","余家誼","https://yt3.ggpht.com/a/AGF-l79W432IfDkQNAqs5yLsprOdRjviQz0Bmwt2GA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC5I4RGwUFHSnXZsK5ALLUqA","UC5I4RGwUFHSnXZsK5ALLUqA","_j7vi9Ho9T4","好浪費為衛生紙ㄛ","好浪費為衛生紙ㄛ","TRUE","none","2","2019-08-04T09:34:58.000Z","2019-08-04T09:34:58.000Z","UgyKUvr5AzTYywXvFeN4AaABAg",NA,NA
"9","Angel Chou","https://yt3.ggpht.com/a/AGF-l7_8SJncM4CAB5rriMXzmfhkjfTgMSx5tfgibg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCD6yVsZzhrus2CrVf3ATjAQ","UCD6yVsZzhrus2CrVf3ATjAQ","_j7vi9Ho9T4","應該用毛巾什麼之類的 不然有點耗衛生紙<br />沒事 貼心提醒<br />我也是從彼得爸那裡知道你們的<br />那時候覺得薇0很正 一直想知道妳們是誰<br />結果現在就成為粉絲啦！","應該用毛巾什麼之類的 不然有點耗衛生紙
沒事 貼心提醒
我也是從彼得爸那裡知道你們的
那時候覺得薇0很正 一直想知道妳們是誰
結果現在就成為粉絲啦！","TRUE","none","9","2019-08-04T07:43:20.000Z","2019-08-04T07:43:20.000Z","Ugy4zqSI_aiTfTGqFPJ4AaABAg",NA,NA
"10","郭瑞希","https://yt3.ggpht.com/a/AGF-l7_GISt7w6_RCNxaUPgQyC6jpdeKn_3nnDxbSQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCuqNKhI4GNNVl1js_fRcWug","UCuqNKhI4GNNVl1js_fRcWug","_j7vi9Ho9T4","不錯玩嘞","不錯玩嘞","TRUE","none","1","2019-08-04T02:09:35.000Z","2019-08-04T02:09:35.000Z","UgzmO5vNLE_R5Z6Lka14AaABAg",NA,NA
