"","id","title","publication_date","viewCount","favoriteCount","commentCount","likeCount","dislikeCount","url"
"1","_eQ-UTByb6A","用1000度的鐵球煮一碗香噴噴的米飯！真香！還要什麼電飯煲啊！ 【歪點子實驗室】","2019-08-26T10:34:51.000Z","6214","0","51","102","10","https://www.youtube.com/watch?v=_eQ-UTByb6A"
"2","-pm6khJplfM","給“水蛭”喝點“雪碧”，水蛭會不會很開心？最後二氧化碳中毒了？ 【歪點子實驗室】","2019-11-29T14:48:22.000Z","42154","0","59","436","26","https://www.youtube.com/watch?v=-pm6khJplfM"
"3","0dJCHQeWty8","手機被汽車拖著在地上摩擦10公里會怎樣，後面的車以為我是傻X【歪點子實驗室】","2019-08-22T00:00:01.000Z","2032","0","7","47","3","https://www.youtube.com/watch?v=0dJCHQeWty8"
"4","0TMP1ohUhlU","把蟑螂掛在牆上，不吃不喝的小強到底能活多久？ 【歪點子實驗室】","2019-08-20T08:32:35.000Z","5799","0","26","75","6","https://www.youtube.com/watch?v=0TMP1ohUhlU"
"5","14Yc11BakDg","給麵包蟲喝點風油精會怎麼樣？還被嗆暈嗎？重口味慎入！ 【歪點子實驗室】","2019-08-25T00:00:00.000Z","13068","0","14","125","12","https://www.youtube.com/watch?v=14Yc11BakDg"
"6","1GXJLcR1nSw","把鞭炮綁在小強的身上，然後點燃爆炸！小強會被炸飛嗎？ 【歪點子實驗室】","2019-08-10T09:14:01.000Z","9313","0","22","160","19","https://www.youtube.com/watch?v=1GXJLcR1nSw"
"7","8Y7BreJ4Rpw","把“水蛭”扔進“高錳酸鉀”溶液裡會怎麼樣？震驚的超強氧化性！ 【歪點子實驗室】","2019-12-20T06:13:50.000Z","205532","0","310",NA,NA,"https://www.youtube.com/watch?v=8Y7BreJ4Rpw"
"8","9v2ivOxm5PA","高能！ 2只螃蟹 VS 1000條麵包蟲，這才是真正的身體被掏空！重口！慎入！ 【歪點子實驗室】","2019-07-17T11:55:02.000Z","70545","0","65","540","67","https://www.youtube.com/watch?v=9v2ivOxm5PA"
"9","ArOTAE_Fids","用1000度燒紅的鐵球煮牛奶！意外砸碎了一個新買的量杯！ 【歪點子實驗室】","2019-08-01T11:38:59.000Z","868","0","4","14","4","https://www.youtube.com/watch?v=ArOTAE_Fids"
"10","BfpuWn731ew","車輪壓手機升級版，時速100公里的車子從手機上壓過去【歪點子實驗室】","2019-09-08T12:04:47.000Z","3998","0","11","63","5","https://www.youtube.com/watch?v=BfpuWn731ew"
"11","bMVziLQ9JVo","蝎子VS蟑螂，蝎子把小強大卸八塊！痛快！ 【歪點子實驗室】","2019-12-23T06:48:50.000Z","23136","0","18",NA,NA,"https://www.youtube.com/watch?v=bMVziLQ9JVo"
"12","Bx04vASCAOA","把一次性手套裝在汽車排氣管上，這威力簡直了！太高能了！ 【 歪點子實驗室】","2019-11-15T14:23:32.000Z","2589","0","10","48","3","https://www.youtube.com/watch?v=Bx04vASCAOA"
"13","C58az5oNtbg","蟑螂VS蜘蛛，蜘蛛的毒液居然把小強化成了渣渣！ 【歪點子實驗室】","2019-12-18T05:50:47.000Z","121319","0","59",NA,NA,"https://www.youtube.com/watch?v=C58az5oNtbg"
